0.94544 0.42842 0.79833 0.16244	-1
0.85365 0.084168 0.5682 0.49221	-1
0.17095 0.82127 0.98444 0.51486	-1
0.51412 0.92124 0.42323 0.097934	-1
0.28147 0.71434 0.075309 0.9116	1
0.46295 0.64512 0.96324 0.31516	-1
0.97789 0.80155 0.90235 0.74203	-1
0.41825 0.69419 0.46246 0.31523	-1
0.75203 0.20264 0.8765 0.47593	-1
0.31767 0.16814 0.97148 0.75625	1
0.60639 0.6256 0.69092 0.23644	-1
0.74736 0.58863 0.85253 0.49688	-1
0.58935 0.25994 0.4347 0.68396	1
0.91428 0.64863 0.26845 0.588	-1
0.82428 0.37408 0.34576 0.36043	-1
0.27134 0.95245 0.97289 0.32633	1
0.11337 0.50822 0.38557 0.65094	1
0.062256 0.87209 0.039721 0.16706	-1
0.88686 0.95327 0.72667 0.25407	-1
0.43814 0.0050115 0.71146 0.0035177	1
0.32039 0.18087 0.36328 0.8082	1
0.53334 0.4928 0.12447 0.056322	-1
0.96163 0.44451 0.36669 0.036965	-1
0.24527 0.98187 0.75223 0.99043	-1
0.79825 0.61992 0.3143 0.32149	-1
0.50254 0.71889 0.93769 0.92041	-1
0.79394 0.37095 0.38948 0.0074354	-1
0.68834 0.0069991 0.052548 0.58947	1
0.24581 0.84714 0.87805 0.47974	-1
0.73303 0.61519 0.45505 0.79567	-1
0.99991 0.59968 0.9556 0.065947	-1
0.29596 0.80898 0.21135 0.62465	-1
0.43281 0.40818 0.72753 0.036651	-1
0.016077 0.54539 0.86837 0.92598	-1
0.87715 0.96472 0.11656 0.67721	-1
0.71588 0.52111 0.24414 0.37834	-1
0.19095 0.80957 0.32997 0.22846	-1
0.95192 0.96849 0.98366 0.52196	-1
0.82839 0.0056522 0.81113 0.64297	-1
0.54021 0.743 0.13468 0.65629	-1
0.99376 0.75706 0.15834 0.086766	-1
0.10648 0.381 0.71405 0.82389	1
0.084093 0.76674 0.1923 0.75727	1
0.46726 0.37486 0.37621 0.42141	-1
0.91136 0.14701 0.64793 0.51055	1
0.38033 0.21008 0.12881 0.94164	1
0.91284 0.29903 0.88588 0.17236	1
0.19765 0.73064 0.02935 0.21955	-1
0.55713 0.7849 0.86564 0.49825	-1
0.91464 0.72806 0.81428 0.069319	-1
0.88463 0.47266 0.11536 0.1131	-1
0.6461 0.18499 0.81522 0.94009	1
0.64541 0.7648 0.32368 0.73249	-1
0.71777 0.97299 0.0068357 0.23462	-1
0.75935 0.27755 0.34451 0.97279	1
0.59766 0.82676 0.54538 0.44152	-1
0.66124 0.60285 0.15767 0.50997	-1
0.91434 0.80477 0.5302 0.7179	-1
0.79207 0.37092 0.43425 0.55487	-1
0.28981 0.3454 0.78777 0.15946	-1
0.42121 0.94815 0.45906 0.86798	-1
0.98778 0.81017 0.8999 0.6688	-1
0.98924 0.37912 0.57184 0.75316	-1
0.20123 0.67704 0.26961 0.65225	1
