 0.57548 0.53938 0.72311 0.23702 0.95864 0.85208 0.68642 0.35431 0.0095435 0.93523 0.21656 0.62107 0.31371 0.82675 0.61655 0.17468 0.12009 0.38317 0.35514 0.39439 1
 0.70727 0.88503 0.62762 0.93851 0.20865 0.82238 0.08001 0.22381 0.18949 0.57738 0.39569 0.89592 0.37106 0.71963 0.5582 0.067821 0.29071 0.39012 0.68854 0.077076 1
 0.24443 0.27331 0.58282 0.92196 0.79214 0.62849 0.67165 0.88523 0.52063 0.81997 0.15601 0.62972 0.48671 0.6272 0.66056 0.79822 0.17185 0.52541 0.93579 0.69411 1
 0.5982 0.95793 0.067363 0.28385 0.79943 0.69517 0.32099 0.73257 0.53142 0.16607 0.088179 0.1609 0.26546 0.58215 0.72454 0.32315 0.89842 0.087163 0.88741 0.46373 -1
 0.74483 0.99658 0.79449 0.035766 0.53645 0.75954 0.86568 0.46859 0.093122 0.56117 0.6571 0.13467 0.1669 0.95561 0.70165 0.32471 0.36825 0.014181 0.47381 0.74029 1
 0.61883 0.43954 0.8162 0.82056 0.54963 0.56149 0.6489 0.42649 0.060309 0.42985 0.29533 0.11186 0.69335 0.37515 0.82137 0.39269 0.92814 0.29584 0.63786 0.93839 -1
 0.041786 0.17272 0.83648 0.97275 0.89534 0.89122 0.5859 0.1281 0.32918 0.72566 0.82496 0.74239 0.25549 0.35202 0.19505 0.3393 0.050324 0.090855 0.82395 0.046555 -1
 0.72918 0.47621 0.64885 0.5814 0.29557 0.12769 0.76412 0.72011 0.63834 0.15129 0.341 0.27347 0.9645 0.53818 0.81321 0.92673 0.19984 0.37158 0.3134 0.32064 1
 0.35329 0.29423 0.25836 0.38523 0.23075 0.15848 0.65675 0.84937 0.95399 0.95511 0.21216 0.56586 0.90955 0.40203 0.68121 0.68996 0.92861 0.19722 0.81251 0.53418 1
 0.70592 0.52368 0.18961 0.97301 0.042099 0.89949 0.79737 0.30065 0.48739 0.52474 0.089361 0.90505 0.17518 0.56089 0.43956 0.26276 0.77371 0.61467 0.43853 0.43896 -1
 0.76077 0.12144 0.44712 0.0048468 0.24642 0.69615 0.75539 0.0081721 0.77332 0.63426 0.38249 0.02536 0.98691 0.15819 0.77514 0.017854 0.22984 0.54885 0.53192 0.47537 1
 0.48978 0.43129 0.94673 0.0047836 0.87536 0.18132 0.72936 0.90531 0.24102 0.72263 0.17898 0.5668 0.23558 0.98303 0.58693 0.73822 0.54076 0.47891 0.66013 0.31039 -1
 0.1941 0.17217 0.12796 0.69843 0.55357 0.99872 0.47118 0.28393 0.73158 0.23499 0.50907 0.1457 0.27941 0.92428 0.88624 0.24717 0.45424 0.96444 0.87006 0.96622 1
 0.53725 0.53959 0.59625 0.24283 0.3302 0.10981 0.93024 0.38478 0.10983 0.07589 0.81576 0.33332 0.72297 0.56891 0.10203 0.5394 0.81459 0.39332 0.35185 0.11115 -1
 0.44109 0.585 0.99414 0.11467 0.68463 0.30716 0.21509 0.49189 0.36062 0.18911 0.0087679 0.49452 0.11399 0.3622 0.10324 0.93201 0.25899 0.86133 0.75298 0.90245 -1
 0.89973 0.062503 0.44489 0.81356 0.84378 0.20714 0.23634 0.057501 0.84629 0.35527 0.0054325 0.63164 0.83001 0.56764 0.051578 0.61933 0.16751 0.62814 0.96268 0.25874 -1
 0.61578 0.30128 0.12235 0.35161 0.63082 0.90315 0.33669 0.2571 0.66348 0.24904 0.0018922 0.94036 0.58141 0.46133 0.1891 0.35439 0.63793 0.61436 0.75823 0.80665 -1
 0.44645 0.63338 0.18446 0.11774 0.56734 0.62724 0.3875 0.095937 0.44588 0.15688 0.027987 0.89369 0.27137 0.66952 0.69513 0.93698 0.68509 0.75548 0.89156 0.67865 -1
 0.91583 0.75375 0.47353 0.64678 0.68643 0.35395 0.49782 0.90201 0.87959 0.82389 0.28066 0.60487 0.5449 0.52731 0.54148 0.58359 0.52152 0.80514 0.35795 0.76732 1
 0.72914 0.77214 0.56088 0.704 0.92467 0.014368 0.9486 0.037697 0.95664 0.25645 0.078519 0.065991 0.50226 0.41303 0.96383 0.82489 0.49065 0.60567 0.1174 0.84026 1
 0.83281 0.41355 0.34219 0.47156 0.57813 0.95953 0.66882 0.38793 0.70782 0.89761 0.35591 0.85332 0.29098 0.88842 0.38087 0.60702 0.80113 0.10533 0.28286 0.71996 -1
 0.45335 0.73473 0.17895 0.57099 0.24399 0.00038826 0.30775 0.59307 0.29399 0.45728 0.4975 0.53928 0.87426 0.14713 0.66979 0.71123 0.69937 0.5475 0.15299 0.10268 1
 0.90485 0.19396 0.38682 0.16242 0.16325 0.62552 0.78008 0.19371 0.73595 0.88704 0.084874 0.55439 0.49096 0.71308 0.6605 0.11672 0.73294 0.29664 0.23185 0.39465 1
