0.97681 0.10723 0.64385 0.29556	1
0.67194 0.2418 0.83075 0.42741	1
0.20619 0.23321 0.81004 0.98691	1
0.51583 0.055814 0.92274 0.75797	1
0.70893 0.10836 0.33951 0.77058	1
0.55743 0.67804 0.061044 0.72689	1
0.15654 0.75584 0.01122 0.42598	-1
0.50462 0.15137 0.33878 0.41881	1
0.22657 0.59272 0.24103 0.46221	-1
0.49174 0.65115 0.24622 0.24796	-1
0.59512 0.26994 0.74692 0.32784	1
0.32439 0.37294 0.11623 0.94499	1
0.4475 0.60183 0.41323 0.58492	1
0.41171 0.098584 0.4795 0.083842	-1
0.10059 0.37353 0.0057687 0.14313	-1
0.8182 0.70052 0.67561 0.22231	1
0.3221 0.95754 0.99328 0.50757	1
0.41469 0.48406 0.39832 0.53216	1
0.48364 0.36163 0.14351 0.3153	-1
0.5323 0.21312 0.40401 0.98252	1
0.71073 0.29015 0.15557 0.70588	1
0.68151 0.23617 0.085193 0.58718	1
0.069048 0.14742 0.92254 0.93918	1
0.19337 0.29606 0.72589 0.71993	1
0.62783 0.80021 0.69486 0.41697	1
0.94658 0.85253 0.75418 0.3027	1
0.54402 0.73303 0.29073 0.26307	-1
0.20166 0.96147 0.83956 0.76917	1
0.8416 0.22036 0.60311 0.34751	1
0.659 0.40341 0.16311 0.12612	-1
0.87845 0.46984 0.32142 0.00042772	-1
0.95971 0.7334 0.45993 0.76215	1
0.35449 0.22126 0.57224 0.4336	1
0.34263 0.81404 0.30048 0.1461	-1
0.7234 0.45707 0.44129 0.40039	1
0.39538 0.20276 0.67262 0.67505	1
0.45179 0.78087 0.4938 0.073425	-1
0.23881 0.7675 0.40806 0.074954	-1
0.91059 0.18045 0.089421 0.59719	1
0.30088 0.3124 0.30033 0.1078	-1
0.20636 0.25969 0.87208 0.075063	-1
0.84325 0.20161 0.018555 0.58518	1
0.33334 0.087671 0.078659 0.15274	-1
0.18111 0.11502 0.73474 0.65718	1
0.90105 0.69659 0.44014 0.28963	1
0.76096 0.17909 0.18557 0.86889	1
0.20359 0.77736 0.2176 0.071641	-1
0.42406 0.98081 0.99433 0.071268	-1
0.61642 0.060815 0.10835 0.85805	1
0.62755 0.47251 0.63101 0.86293	1
0.55335 0.10757 0.87192 0.8353	1
0.72356 0.088313 0.69772 0.091611	1
0.02084 0.66204 0.26704 0.93343	1
0.15623 0.39914 0.58355 0.9993	1
0.90115 0.74857 0.6048 0.54481	1
0.40522 0.34025 0.84438 0.30728	1
0.69053 0.70505 0.77211 0.50009	1
0.32972 0.36727 0.038398 0.24515	-1
0.087565 0.80164 0.10873 0.72862	-1
0.26626 0.19317 0.83732 0.96563	1
0.33161 0.23154 0.12297 0.17358	-1
0.8338 0.22029 0.62198 0.5915	1
0.38873 0.57979 0.75488 0.12437	-1
0.093349 0.084263 0.085754 0.19575	-1
0.3938 0.21727 0.59706 0.36985	1
0.14047 0.12652 0.89396 0.0056295	-1
0.34342 0.76697 0.82696 0.43354	1
0.2665 0.83265 0.28848 0.2337	-1
0.36046 0.36809 0.32623 0.25556	-1
0.99778 0.97657 0.674 0.51915	1
0.22303 0.028847 0.73739 0.41662	1
0.30179 0.44626 0.17371 0.73116	1
0.31285 0.25044 0.46658 0.12074	-1
0.24446 0.51992 0.80413 0.74044	1
0.31433 0.80511 0.6496 0.56248	1
0.10521 0.202 0.87425 0.90105	1
0.34385 0.5524 0.52835 0.833	1
0.52791 0.62401 0.56754 0.41641	1
0.77826 0.57861 0.49655 0.84074	1
0.26143 0.5512 0.38472 0.18668	-1
0.87326 0.96009 0.24922 0.65171	1
0.65069 0.96118 0.36716 0.6302	1
0.46037 0.98854 0.62971 0.62758	1
0.11105 0.93171 0.85023 0.022051	-1
0.32721 0.95939 0.9862 0.92881	1
0.54203 0.071898 0.79052 0.86281	1
0.18994 0.76582 0.21911 0.25161	-1
0.24274 0.9501 0.80862 0.68007	1
0.36659 0.57376 0.22493 0.94652	1
0.52105 0.45772 0.7153 0.91306	1
0.73745 0.045874 0.9518 0.90951	1
0.0054206 0.5803 0.92465 0.52961	1
0.61914 0.3734 0.45772 0.56601	1
0.68483 0.34833 0.6974 0.51117	1
0.31049 0.58616 0.78657 0.077121	-1
0.0077248 0.69259 0.98719 0.93702	1
0.45361 0.47903 0.1331 0.41037	-1
0.84801 0.7256 0.21409 0.88719	1
0.29968 0.17497 0.99655 0.15494	1
0.10789 0.090897 0.013157 0.45712	-1
0.72711 0.89662 0.048524 0.77902	1
0.50372 0.14179 0.8632 0.57913	1
0.22889 0.248 0.5324 0.58705	1
0.79724 0.4484 0.90201 0.19897	1
0.10663 0.49593 0.20231 0.05901	-1
0.15117 0.49039 0.8309 0.91627	1
0.95409 0.40038 0.82197 0.73251	1
0.35704 0.014972 0.47835 0.55573	1
0.4672 0.78532 0.63665 0.80891	1
0.51268 0.49317 0.37239 0.11229	-1
0.60983 0.54596 0.30924 0.45368	1
0.17321 0.67316 0.27675 0.53482	-1
0.5761 0.36533 0.44297 0.585	1
0.77885 0.92006 0.51157 0.42738	1
0.58168 0.7896 0.58292 0.11996	-1
0.7243 0.19231 0.12572 0.42981	1
0.27893 0.27538 0.82096 0.92758	1
0.79986 0.070765 0.099176 0.61674	1
0.65646 0.042222 0.039717 0.90227	1
0.2386 0.41482 0.16741 0.26592	-1
0.84494 0.53851 0.08783 0.74972	1
0.69721 0.29151 0.14566 0.092551	-1
0.085241 0.19873 0.11313 0.53704	-1
0.18871 0.093184 0.55176 0.047211	-1
0.21583 0.79506 0.30754 0.7987	1
0.050727 0.19674 0.73473 0.48999	1
0.077524 0.29589 0.012955 0.93278	1
0.87063 0.46914 0.22899 0.35294	1
0.84807 0.60812 0.42088 0.97709	1
0.045535 0.66219 0.76946 0.71987	1
0.64344 0.20442 0.20197 0.43431	1
0.33283 0.78383 0.0097152 0.13798	-1
0.091392 0.95801 0.30999 0.17345	-1
0.058002 0.42981 0.92919 0.40967	1
0.22095 0.66618 0.86801 0.61817	1
0.018695 0.21615 0.68387 0.069085	-1
0.79796 0.18841 0.12854 0.50856	1
0.67478 0.92791 0.025838 0.12608	-1
0.68964 0.92125 0.65626 0.76319	1
0.37004 0.0075887 0.99533 0.82581	1
0.4103 0.22978 0.2938 0.78125	1
0.46467 0.40583 0.26626 0.17288	-1
0.27347 0.38493 0.20575 0.80271	1
0.0037457 0.59585 0.85865 0.037211	-1
0.45059 0.83556 0.54132 0.21109	-1
0.055447 0.84199 0.62001 0.80487	1
0.016285 0.39547 0.12598 0.63249	-1
0.11982 0.90112 0.55878 0.19737	-1
0.77264 0.38371 0.61856 0.36306	1
0.68999 0.42401 0.43875 0.98001	1
0.057837 0.86126 0.84096 0.6711	1
0.23792 0.066348 0.44791 0.9972	1
0.39259 0.89268 0.54155 0.0061404	-1
0.20604 0.19453 0.31621 0.71208	1
0.18058 0.37711 0.88283 0.65659	1
0.80745 0.24562 0.82253 0.98408	1
0.41828 0.36215 0.8516 0.68281	1
0.1323 0.39434 0.84215 0.91682	1
0.61753 0.09773 0.81467 0.40281	1
0.97318 0.19905 0.26089 0.68696	1
0.76135 0.65909 0.89342 0.21845	1
0.58691 0.6069 0.43123 0.042843	-1
0.34919 0.10586 0.50059 0.082363	-1
0.37798 0.23626 0.23852 0.14685	-1
0.9042 0.98451 0.019088 0.76116	1
0.84556 0.90166 0.072432 0.079249	-1
